A19,A20,A21,B19,B20,B21,C19,C20,C21,D19,D20,D21,E19,E20,E21,F19,F20,F21,G19,G20,G21,H19,H20,H21,C36,Nombre Archivo
TORRE,,,LENOVO,,,,,,M725s-S1SK00,,,PC1AMCMN,,,,,,COLTEL-059996,,,TORRE,,,Acción: Se realiza el borrado seguro al equipo de escritorio  M725s-S1SK00 con numero de serie PC1AMCMN	,CT-COLTEL059996.xlsx
TORRE,,,LENOVO,,,,,,M725s-S1SK00,,,PC1AMCM8,,,,,,COLTEL-059997,,,TORRE,,,Acción: Se realiza el borrado seguro al equipo de escritorio  M725s-S1SK00 con numero de serie PC1AMCM8	,CT-COLTEL059997.xlsx
TORRE,,,LENOVO,,,,,,M725s-S1SK00,,,PC1AMCMC,,,,,,COLTEL-060061,,,TORRE,,,Acción: Se realiza el borrado seguro al equipo de escritorio  M725s-S1SK00 con numero de serie PC1AMCMC	,CT-COLTEL060061.xlsx
TORRE,,,LENOVO,,,,,,M725s-S1SK00,,,PC1AMCMS,,,,,,COLTEL-060063,,,TORRE,,,Acción: Se realiza el borrado seguro al equipo de escritorio  M725s-S1SK00 con numero de serie PC1AMCMS	,CT-COLTEL060063.xlsx
TORRE,,,LENOVO,,,,,,M725s-S1SK00,,,PC1AMCM2,,,,,,COLTEL-060070,,,TORRE,,,Acción: Se realiza el borrado seguro al equipo de escritorio  M725s-S1SK00 con numero de serie PC1AMCM2,CT-COLTEL060070.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1PWGD4,,,,,,COLTEL-072195,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1PWGD4,CT-COLTEL072195.xlsx
TORRE,,,LENOVO,,,,,,V330-14ARR,,,MJ0A8KV2,,,,,,COLTEL-084360,,,TORRE,,,"Acción: Se realiza el borrado seguro al equipo de escritorio  LENOVO M725s-S1SK00 con numero de serie MJ0A8KV2	
NO CUENTA CON ANTENA WIFI",CT-COLTEL084360.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1QBX19,,,,,,COLTEL-085295,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1QBX19,CT-COLTEL085295.xlsx
TORRE,,,LENOVO,,,,,,M725s-S1SK00,,,PC1AMCK0,,,,,,COLTEL-087628,,,TORRE,,,"Acción: Se realiza el borrado seguro al equipo de escritorio  M725s-S1SK00 con numero de serie PC1AMCK0	
LA TORRE PRESENTA UNA QUEMADURA EN EL FRENTE ",CT-COLTEL087628.xlsx
TORRE,,,LENOVO,,,,,,M725s-S1SK00,,,PC1AMCM5,,,,,,COLTEL-087631,,,TORRE,,,Acción: Se realiza el borrado seguro al equipo de escritorio  M725s-S1SK00 con numero de serie PC1AMCM5	,CT-COLTEL087631.xlsx
TORRE,,,LENOVO,,,,,,M725s-S1SK00,,,MJ0A6NCM,,,,,,COLTEL-089152,,,TORRE,,,"Acción: Se realiza el borrado seguro al equipo de escritorio  M725s-S1SK00 con numero de serie MJ0A6NCM	
",CT-COLTEL089152.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3GQP,,,,,,COLTEL-089934,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3GQP SIN MAUSE,CT-COLTEL089880.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1QAE75,,,,,,COLTEL-089881,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1QAE75,CT-COLTEL089881.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3KM9,,,,,,COLTEL-089884,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3KM9	,CT-COLTEL089884.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3GC8,,,,,,COLTEL-089888,,,PORTATIL,,,"Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3GC8	, TECLADO FALLANDO",CT-COLTEL089888.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3H72X,,,,,,COLTEL-089890,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3H72X,CT-COLTEL089890.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3CPJ,,,,,,COLTEL-089892,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3CPJ,CT-COLTEL089892.xlsx
PORTATIL,MOUSE,,LENOVO,LENOVO,,,,,V330-14ARR,MOJUUO,,MP1Q3ED6,8SSM50L24505AVLC99R065Z,,,,,COLTEL-089896,COLTEL-121249,,PORTATIL,MOUSE,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3ED6. Equipo con probelmas en el teclado ,CT-COLTEL089896.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3GB6,,,,,,COLTEL-089898,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3GB6,CT-COLTEL089898.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1PW31J,,,,,,COLTEL-089900,,,PORTATIL,,,"Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1PW31J, SIN MOUSE",CT-COLTEL-089900.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1PWCK8,,,,,,COLTEL-089904,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1PWCK8,CT-COLTEL089904.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1PW308,,,,,,COLTEL-089906,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1PW308,CT-COLTEL089906.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1PWB7S,,,,,,COLTEL-089908,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1PWB7S,CT-COLTEL089908.xlsx
